name,type,lat,lng
מקלט 01 - אברבנאל 26,PUBLIC_SHELTER,32.8306442,35.0591966
מקלט 02 - אברבנאל 69,PUBLIC_SHELTER,32.8316497,35.0569385
מקלט 03 - אנה פרנק 11,PUBLIC_SHELTER,32.827955,35.0641684
מקלט 04 - אנה פרנק 40,PUBLIC_SHELTER,32.8296515,35.0655986
מקלט 5 - ארזים 65,PUBLIC_SHELTER,32.8323714,35.0612642
מקלט 06 - משמר העמק 10,PUBLIC_SHELTER,32.8351242,35.0623119
מקלט 07 - בנציון ישראלי 41,PUBLIC_SHELTER,32.833791,35.059341
מקלט 08 - משמר העמק 19,PUBLIC_SHELTER,32.8361724,35.0599265
מקלט 09 - בית אלפא 27,PUBLIC_SHELTER,32.834559,35.0577945
מקלט 10 - שדרות דגניה 10,PUBLIC_SHELTER,32.8283226,35.0607777
מקלט 11 - דגניה 35,PUBLIC_SHELTER,32.8298767,35.056819
מקלט 12 - שדרות דגניה 53 א׳,PUBLIC_SHELTER,32.8310449,35.0544698
מקלט 13 - שדרות דגניה 53 ב׳,PUBLIC_SHELTER,32.8310449,35.0544698
מקלט 14 - נתיב התנאים 16,PUBLIC_SHELTER,32.8345642,35.0665158
"מקלט 15 - יעקב כ""ץ 15",PUBLIC_SHELTER,32.8383281,35.068732
מקלט 16 - השקד 2,PUBLIC_SHELTER,32.8192813,35.0770058
מקלט 17 א' - הנוטר 51,PUBLIC_SHELTER,32.8232086,35.0695411
מקלט 17 - הנוטר 53,PUBLIC_SHELTER,32.8239179,35.0700536
מקלט 18 - הפלוגות 54,PUBLIC_SHELTER,32.83065,35.071597
מקלט 19 - השיירה 33,PUBLIC_SHELTER,32.820305,35.0730257
מקלט 20 - הקיבוצים 73,PUBLIC_SHELTER,32.8281481,35.0730367
מקלט 21 - הראשונים 55,PUBLIC_SHELTER,32.8246618,35.0673004
מקלט 22 - חומה ומגדל 18 א׳,PUBLIC_SHELTER,32.8178066,35.0748401
מקלט 23 - הקונגרס 43א׳,PUBLIC_SHELTER,32.834984,35.0567483
מקלט 24 - יצחק יציב 46,PUBLIC_SHELTER,32.8219956,35.0719502
מקלט 25 - יצחק יציב 24,PUBLIC_SHELTER,32.819994,35.070554
מקלט 26 - אלכסנדר זייד 77,PUBLIC_SHELTER,32.8281394,35.0681199
מקלט 27 - ברכה פולד 13,PUBLIC_SHELTER,32.8198759,35.0759259
מקלט 28 - ציזלינג 26,PUBLIC_SHELTER,32.8231973,35.0752869
מקלט 29 - שבטי ישראל 66,PUBLIC_SHELTER,32.8221586,35.0788896
מקלט 30 - שר שטרית 26,PUBLIC_SHELTER,32.825714,35.0701247
מקלט 31 - אינטרנציונל 20,PUBLIC_SHELTER,32.779346,35.0099847
מקלט 32 - ברל כצנלסון 3,PUBLIC_SHELTER,32.7860665,35.01648
מקלט 33 - ברל כצנלסון 29,PUBLIC_SHELTER,32.7872652,35.0127798
מקלט 34 - בורוכוב 25,PUBLIC_SHELTER,32.7806157,35.0117825
מקלט 35 - גורדון 34,PUBLIC_SHELTER,32.7834478,35.0109481
מקלט 36 - בגליל 79,PUBLIC_SHELTER,32.7898555,35.0190217
מקלט 37 - הגיבורים 17/25,PUBLIC_SHELTER,32.8032969,35.0059013
מקלט 38 - הגיבורים 43,PUBLIC_SHELTER,32.8023642,35.0097337
מקלט 39 - חביבה רייך 33,PUBLIC_SHELTER,32.7781923,35.0068681
